food_code,food_name,food_name_en,category,edible_pct,water_g,energy_kcal,energy_kj,protein_g,fat_g,carbohydrate_g,fiber_g,cholesterol_mg,ash_g,vit_a_ug_rae,carotene_ug,retinol_ug,thiamin_mg,riboflavin_mg,niacin_mg,vit_c_mg,vit_e_mg,ca_mg,p_mg,k_mg,na_mg,mg_mg,fe_mg,zn_mg,se_ug,cu_mg,mn_mg,remark
990001,测试食物A（模拟米饭）,Test Food A,测试-谷物类,100,70.0,116,485,2.6,0.3,25.6,0.4,0,0.6,0,0,0,0.02,0.03,1.9,0,0.4,7,62,30,2.5,15,1.3,0.92,0.40,0.06,0.58,
990002,测试食物B（模拟苹果）,Test Food B,测试-水果类,76,85.9,54,,0.2,0.2,13.7,1.2,—,0.2,3,20,—,0.02,0.02,0.2,4,2.12,4,12,119,1.6,4,0.6,0.19,0.12,0.06,0.03,
990003,测试食物C（模拟牛奶）,,测试-乳类,100,89.8,,226,3.0,3.2,3.4,0,15,0.7,24,—,24,0.03,0.14,0.1,1,0.21,104,73,109,37.2,11,0.3,0.42,1.94,0.02,0.03,
990004,测试食物D（模拟鸡蛋白）,Test Food D,测试-蛋类,87,84.4,60,251,11.6,Tr,3.1,0,0,0.9,—,—,—,Tr,0.31,0.2,—,0.01,9,18,132,79.4,15,1.6,0.02,6.97,0.05,0.04,
990005,测试食物E（模拟菠菜）,,测试-蔬菜类,89,91.2,28,117,2.6,0.3,4.5,1.7,—,1.4,487,2920,—,0.04,0.11,0.6,32,1.74,66,47,311,85.2,58,2.9,0.85,0.97,0.10,0.66,虚构数据，仅供管线测试
990006,测试食物F（模拟食用油）,,测试-油脂类,100,0.1,899,3761,0,99.9,0,—,—,—,—,—,—,—,—,—,—,60.89,12,15,1,0.9,1,2.0,0.23,—,—,—,
990007,测试饮料G（模拟茶饮）,Test Drink G,测试-饮料类,100,99.6,1,4,0.1,0,0.3,0,0,Tr,—,—,—,—,—,—,Tr,—,5,2,8,0.4,1,Tr,Tr,—,—,—,
990008,测试食物H（模拟猪肉）,,测试-畜肉类,100,46.8,395,1653,13.2,37.0,2.4,0,80,0.6,18,—,18,0.22,0.16,3.5,—,0.35,6,130,204,59.4,16,1.6,2.06,11.97,0.06,0.03,虚构备注：仅供管线测试
990009,测试食物I（模拟豆腐）,Test Tofu (fictional),测试-豆类,100,82.8,84,351,8.1,3.7,4.2,0.4,0,0.7,—,—,—,0.04,0.03,0.2,—,2.71,164,119,125,7.2,27,1.9,1.11,2.30,0.27,0.47,
990010,测试食物J（模拟海带）,,测试-藻类,100,94.4,13,54,1.2,0.1,2.1,0.5,—,1.9,—,30,—,0.02,0.15,1.3,—,1.85,46,22,246,8.6,25,0.9,0.16,9.54,0.14,0.07,
